Word,Clue
DTI,"<i>The _ of Innocence</i>, 1993 Daniel Day-Lewis film"
DUB,"<i>The _ of Innocence</i>, 1993 Michelle Pfeiffer film"
DUD,Epoch
DUE,Era
DUG,Generation
DUN,Grow old
DUO,Grow older
DVD,His^tor^ic^al period
DYE,Mature
DZO,Period of history
EAR,Stage of life
EAT,Time of life
EAU,Time of life reached
EAW,Very long time
EBB,Yearly company planning session
ECG,Yearly shareholders' formal discussion
ECO,In days gone by
ECU,In the past
EDD,In time past
EDO,Past
EEC,"Past, gone"
EEK,Since
EEL,Time past
EEN,Cry of dis^cov^ery
EER,Ex^pres^sion of pleasure or surprise
EFT,1980s Norwegian pop group
EGE,Norwegian pop group who sang <i>Take On Me</i>
EGG,Assist
EGO,Assistance
EID,"First _, medical help"
EIN,Give support to
EKE,Help
ELF,Succour
ELI,Afflict
ELK,Be ill
ELL,Be indisposed
ELM,Be poorly
ELO,Be sick
ELS,Be unwell
ELY,Become sick
EMF,Fall ill
EMI,Feel ill
EMO,Feel poorly
EMS,Feel unwell
EMU,Direction
ENA,Goal
END,"Goal, ambition"
ENO,Intend
ENS,Intention
ENT,"In^ten^tion, ambition"
EON,Object
EOS,Personal goal
ERA,Point (a gun)
ERE,Point at a target
ERF,Purpose
ERG,"Purpose, design"
ERN,Seek out the target
ERR,Target
ERS,Scottish word for 'own'
ESK,"_ <i>Force One</i>, Harrison Ford film"
ESP,Ambience
ESS,Atmosphere
ETA,Breath^able mixture of gases
ETC,Bring into the open
EVA,Gases covering the Earth
EVE,Gases in the at^mos^phere
EVY,Gases inside the at^mos^phere
EWE,Light tune
EWN,Make known publicly
EXE,Manner
EYE,"Manner, bearing"
FAB,Melody
FAD,"Melody, tune"
FAG,Mixture of gases within the atmosphere
FAH,Ventilate
FAL,"_ <i>Force One</i>, 1997 film"
FAN,"_ <i>on the G String</i>, Bach piece"
FAQ,River island
FAR,River islet
FAT,"_ carte, as on the menu"
FAX,"_ mode, fash^ion^able"
FAY,Church vestment
FBI,Long priestly garment
FED,Long white clerical vestment
FEE,Long white priestly garment
FEN,Long white vestment
FEW,Priest's vestment
FEY,"<i>Cakes and</i> _, novel by Somerset Maugham"
FEZ,"Adam's _, water"
FIB,Alcoholic drink
FIE,Beer
FIG,Drink made from fermented malt
FIN,Drink made from malt and hops
FIR,Hop-rich beer
FIT,Old name for beer
FIX,Pub drink
FIZ,Trad^ition^al pub drink
FLO,Johnny Speight's Mr Garnett
