Word,Clue
LEANS,Pleads
LEANT,"Item, along with a book and candle, that is associated with excommunication"
LEAPS,"<i>For Whom the _ Tolls</i>, film and novel"
LEAPT,"Alexander Graham _, telephone inventor"
LEARN,Cam^pan^olo^gist's in^stru^ment
LEARY,Door chime
LEASE,Inventor of the telephone
LEASH,Ringing in^stru^ment
LEAST,Telephone inventor
LEAVE,"_ Lugosi, Hungarian actor"
LEBON,"_ Lugosi, horror movie star"
LEDGE,"<i>For Whom the _ Tolls</i>, Hemingway novel"
LEDON,Cam^pano^logic^al in^stru^ment
LEECH,Chimer
LEEDS,Band around the waist
LEEKS,Buckled band
LEELA,"Green _, strip of open land around a city"
LEERS,Leather strip with a buckle
LEERY,Leather waistband
LEGAL,Strap
LEGER,Tie around the waist
LEGGY,Trouser support
LEGIT,Waistband
LEGUP,"Zone, band"
LEHAR,"_ and braces, proverbial cautionary measures"
LEIGH,Arch
LEITH,Bow
LEMAR,Corner
LEMMY,Crouch
LEMON,Curve
LEMUR,Curve in a road
LENDL,Curve round a corner
LENDS,Distort to a curve
LENIN,Make curved
LENNY,Stoop
LENTO,"Nigel _, 1980s/90s boxer"
LENYA,Corrupt or curved
LEONA,Crooked
LEONE,Curved
LEONI,Distorted
LEPER,Out of shape
LETGO,"Tendency, leaning"
LETHE,Name as^so^ci^ated with Mercedes
LETIN,German motor car pioneer
LETIT,"Alban _, Austrian composer"
LETON,Floating ice mass
LETTE,Large body of floating ice
LETUP,Porgy's beloved in a Gershwin opera
LEVEE,"Black _, Dick Turpin's horse"
LEVEL,"George _, 1960s soccer great"
LEVER,Greatest
LEVIS,Most ex^cel^lent
LEWES,Most suc^cess^ful
LEWIS,Of the highest quality
LEXIS,Optimum
LHASA,Superlative
LIANA,"_ man, bride^groom's helper"
LIARS,"_ man, bride^groom's attendant"
LIBBY,2nd Greek letter
LIBEL,Second-brightest star in a constellation
LIBRA,Second Greek letter
LIBYA,Second-class mark
LICIT,"_ blocker, heart-slowing drug"
LICKS,"_ noire, pet hate"
LIDOS,One of the four daughters in <i>Little Women</i>
LIEGE,Gambles
LIEIN,Lays a wager
LIESL,Stakes
LIETO,Wagers
LIFER,Group (of girls)
LIFTS,Group (of larks)
LIGER,Group (of pretty girls)
LIGHT,Leaning to one side
LIKEA,Diagonal line across the weave of a fabric
LIKED,Favouritism
LIKEN,"In bowls, greater weight on one side of a wood"
LIKES,Leaning
LIKUD,One-sided in^clin^ation
LILAC,One-sidedness
LILIA,Partiality
LILLE,Predilection
LILLI,Preference
LILLY,Prejudice
LILTS,Unfair leaning
LIMBO,Apron tops
LIMBS,Babies' aprons
LIMES,Babies' napkins
LIMEY,Tarry
LIMIT,Wait
LIMPS,Wait awhile
LINDA,"_ your time, wait"
LINDT,Attempts
LINED,Auction offers
LINEN,Offers at an auction
LINER,Offers at auction
LINES,Proposals
LINGO,Tenders
LINKS,Coffin stand
LINUS,Wooden frame on which a coffin is carried
LIONS,Blow with the fist
LIPPY,Hit hard
LISLE,Hit with the fist
LISPS,Cycle
LISTS,Bitter yellowish fluid produced by the liver
LISZT,Liver fluid
LITHE,Liver secretion
LITRE,"Acker _, jazz clari^net^tist"
LITUP,Beak
LIVED,Bird's beak
LIVEN,Demand for payment
LIVER,Invoice
LIVES,Poster
LIVIA,State^ment of charges
LIVID,"_ Clinton, former US presi^dent"
LLAMA,"_ Murray, US actor"
LLANO,"_ Wyman, former Rolling Stone"
LLOYD,Fasten
LOACH,Join together
LOADS,Place under an ob^li^ga^tion
LOAFS,Rope together
LOANS,Tie
LOATH,Tie tightly
LOBBY,Tie together
LOBES,Tightly fasten
LOCAL,Tie tightly together
LOCHS,Truss
LOCKE,Wrap tightly
LOCKS,"_ Crosby, <i>Going My Way</i> actor"
LOCOS,"_ Crosby, American crooner"
LOCUM,"_ Crosby, US crooner"
LODGE,Con^tainers for refuse
LOESS,Rubbish con^tainers
LOEWE,Rubbish re^cept^acles
LOFTS,Waste con^tainers
LOFTY,Waste re^cept^acles
LOGAN,Creature with a beak
LOGIC,Fea^thered animal
LOGIE,Fea^thered creature
LOGIN,Fea^thered friend
LOGON,Flying creature
LOGOS,Ballpoint
LOHAN,Ballpoint pen
LOINS,Dis^card^able pen
LOIRE,Inventor of the ballpoint pen
LOLLO,Writing im^ple^ment
LOLLS,Writing in^stru^ment
LOLLY,Keen dry north wind prevalent in Switzerland and S France
LOMAS,Fish's taking of the lure
LONER,"Gnaw, nibble"
LONGS,Grip with the teeth
LOOFA,Morsel
LOOKS,Mouthful
LOOMS,"Nibble, gnaw"
LOONS,Nip
LOOPS,Seize with the teeth
LOOPY,Sink your teeth into
LOOSE,Use your teeth
LOOTS,Wound from a dog
LOPED,Fragments
LOPES,Parts of drills
LOPEZ,Sections
LORCA,Small pieces
LORDE,"_ and pieces, scraps"
LORDI,Disclose
LORDS,Divulge
LOREN,Let slip
LORIS,Spill the beans
LORNA,Talk too much
LORNE,Tell tales
LORRE,Flowed from a cut
LORRY,Lost vital fluid
LOSER,Removed trapped air from
LOSES,"Cordon _, good cook"
LOTOS,Breathed hard
LOTTO,Puffed
LOTUS,High sound made by a radar instrument
LOUGH,Moving spot on a radar screen
LOUIE,Spot on a radar screen
LOUIS,Shapeless mass
LOUPE,Splodge
LOUSE,Splotch of colour
LOUSY,Combination of nations acting together
LOUTH,Group of aligned nations
LOUTS,Group of coun^tries
LOVAT,Group of nations
LOVED,Political alliance
LOVER,Political or economic grouping
LOVES,Political group
LOVEY,Ink mark
LOVIN,Ink stain
LOWED,Mar
LOWER,Smear
LOWLY,Smudge
LOWRY,Stain
LOYAL,Unsightly mark
LUCAN,Breathe hard
LUCAS,Gust
LUCCI,Puff
LUCIA,Setback
LUCID,"_ up, explode"
LUCKY,"_ up, inflate (balloons)"
LUCRE,Azure
LUDIC,Colour as^so^ci^ated with sadness
LUFFS,Depressed
LUGER,Oxbridge sportsman
LUIGI,Primary colour
LULLS,Sky colour
LUMET,Varsity sportsman
LUMPS,"_ <i>Hawaii</i>, Elvis film"
LUMPY,"_ <i>Peter</i>, TV pro^gramme"
LUNAR,"_ <i>Peter</i>, long-running children's programme"
LUNCH,"1990s pop group, singers of <i>Parklife</i>"
LUNDY,1990s Britpop group
LUNGE,Confused im^pres^sion
LUNGS,Go out of focus
LUPIN,Image not in focus
LUPUS,Image out of focus
LURCH,In^dis^tinct ap^pear^ance
LURED,In^dis^tinct image
LURES,In^dis^tinct moving object
LUREX,Make fuzzy
LURID,Obscure
LURKS,Put out of focus
LUSTY,Vague moving object
LUTES,Male pig
LUTON,Male wild pig
LUVVY,Wild hog
LUXOR,Wild pig
LUZON,Feathery scarves
LYCEE,"Franz _, US an^thro^polo^gist"
LYCRA,Snakes that kill by squeezing
LYDIA,"<i>Three Men in a</i> _, Jerome K Jerome novel"
LYDON,"<i>When the _ Comes In</i>, 1970s TV series"
LYING,"Canoe or kayak, eg"
LYMPH,Nautical vessel
LYNAM,Rowing or fishing craft
LYNCH,Sailing vessel
LYNDA,Seagoing craft
LYNNE,Small sailing craft
LYONS,Small seagoing vessel
LYRES,Small ship
LYRIC,Small vessel
LYSOL,Yacht
MABEL,Bell-ringing changes
MACAO,Bounces up and down
MACAU,Bounces lightly
MACAW,Moves up and down
MACES,Augur
MACHO,"Augur, portend"
MACON,Foretell
MACRO,Portend
MACYS,"Being, person"
MADAM,Corpse
MADGE,Physique
MADLY,Torso
MADOC,South African of Dutch descent
MAEVE,Dutch colonist in South Africa
MAFIA,South African Dutch
MAGDA,"_ War, 1899-1902 conflict"
MAGIC,Marshes
MAGMA,Marshlands
MAGNA,Swamps
MAGOG,Carbuncle
MAGOO,Cook in bubbling liquid
MAHAL,Cook in hot water
MAHDI,Cook in water
MAHON,Cook to bubbling point
MAIDA,Inflamed swelling
MAIDS,Seethe
MAILS,Simmer
MAIMS,Adventurous
MAINE,Audacious
MAINS,Brave
MAINZ,Courageous
MAISY,Daring
MAIZE,Fearless
MAJOR,Heavily printed
MAKER,Valiant
MAKES,"_ as brass, cheeky"
MALAY,Tree trunk
MALEK,Trunk of a tree
MALES,Capsule of cotton
MALFI,Cotton seed pod
MALIK,Flax pod
MALIN,Round capsule of cotton
MALLS,Arrow fired by a crossbow
MALMO,Crossbow arrow
MALTA,Door-lock
MAMAS,Eat hurriedly
MAMBA,Make a run for it
MAMBO,Nut's coun^ter^part
MAMMA,Roll (of cloth)
MANDY,Run away very fast
MANES,Run away out of control
MANET,Security device on a door
MANGA,Sliding bar for locking
MANGE,Sliding door-fastener
MANGO,Sliding door-lock
MANIA,Exploding device
MANIC,Ex^plo^sive device
MANLY,Ex^plo^sive pro^ject^ile
MANNA,Ex^plo^sive weapon
MANON,"Fail badly, flop"
MANOR,Military shell
MANSE,Promise to pay
MANTA,Affinity
MAORI,Debenture
MAPLE,Firm tie
MARAT,Ian Fleming char^ac^ter
MARCH,Ian Fleming's spy
MARCO,"James _, 007"
MARCY,Link
MARDI,"Firm tie, link"
MAREN,"Promise, word"
MARES,Strong link
MARGE,Unite
MARGI,"_ Street, Monopoly square"
MARGO,Any part of a skeleton
MARIA,Corset-stiffener
MARIE,Dog's treat
MARIO,Hard tissue making up the skeleton
MARKS,Part of a skeleton
MARNE,Piece of a skeleton
MARRY,"Tibia, femur, for instance"
MARSH,Former capital of West Germany
MARTY,City on the Rhine
MASAI,Post-war capital of West Germany
MASKS,Lead singer of U2
MASON,Lead singer of pop group U2
MASSE,"Lean, gaunt"
MASTS,Skeletal
MATCH,"Thin, emaciated"
MATED,Mistake
MATER,Charter
MATES,Engage in advance
MATEY,Item borrowed from a library
MATHS,Make a res^er^va^tion for
MATZO,Reserve
MAULS,Tome
MAUVE,Volume
MAVEN,Barrier across a harbour
MAVIS,Ex^plo^sive sound
MAWLE,Ex^tend^able pole on a film set
MAXIM,Floating barrier
MAYAN,Flourish
MAYAS,Hollow roar
MAYBE,Sail support
MAYER,Sonic noise
MAYIM,Time of pros^per^ity
MAYOR,Blessing
MAZDA,"Gift, favour"
MAZES,1980s TV series starring Michael Elphick
MBEKI,1980s TV private eye series starring Michael Elphick
MCCAW,Welcome gift
MCCOY,"Betty _, cartoon char^ac^ter"
MCFLY,Coarse person
MCGEE,Ill-mannered person
MCKEE,Crass person
MCNAB,Insen^si^tive person
MEALS,Lout
MEALY,Rude person
MEANS,Dis^ap^prov^ing sounds
MEANT,Jeers
MEARS,Shouts of dis^ap^proval
MEATH,Space at the back of a car
MEATS,Car's luggage compart^ment
MEATY,Foot^ball^er's shoe
MECCA,Sturdy item of footwear
MEDAL,Heavy shoe
MEDEA,High-ankled shoe
MEDIA,Item of a foot^ball^er's kit
MEDIC,Item of footwear
MEDOC,Pro^tect^ive item of footwear
MEERA,Rear of a car
MEETS,Shoe with ankle support
MEGAN,Strong shoe
MEKON,"Wel^ling^ton, for example"
MELBA,Welly
MELDS,Jives
MELEE,Drill
MELON,Firearm's calibre
MELTS,Person who wearies with tedious talk and dullness
MELUA,Tedious activity
MEMOS,Tedious person
MENAI,Tidal wave in a river
MENDS,Tiresome nuisance
MENSA,Tiresome person
MENUS,1976-80 Wim^ble^don champion
MERCI,"Bjorn _, 1970s Wimbledon champion"
MERCY,"Bjorn _, Swedish tennis player of the 1970s"
MERGE,"Bjorn _, 1970s tennis player"
MERIT,"Bjorn _, 1970s tennis star"
MERLE,Swedish tennis star of the 1970s and early 1980s
MERNA,"<i>A Star Is</i> _, 1954 Judy Garland film"
MERRY,"<i>A Star Is</i> _, 1976 Streisand/Kristofferson film"
MERYL,"_ <i>Free</i>, film about lions"
MESON,Brought into life
MESSI,Brought into the world
MESSY,Brought into existence
METAL,"_ <i>Free</i>, 1966 Virginia McKenna film"
METED,"_ <i>in the USA</i>, Bruce Springsteen song"
METER,Nonsense
METES,"Chief, leader"
METHS,Employer
METRE,Foreman
METRO,Head person
MEUSE,"Knob, stud"
MEWED,Person in charge
MEZZO,Manager
MIAMI,Raised stud
MIAOW,Supervisor
MICAH,One and the other
MICRA,The pair
MICRO,The two
MIDAS,The two together
MIDGE,Boxing contest
MIDON,Boxing match
MIDST,Session
MIFFS,Short period
MIGHT,Basin
MILAN,Cooking re^cep^tacle
MILER,Dish
MILES,Dog's food or water dish
MILEY,Dog's water dish
MILKS,Mixing dish
MILKY,Round basin
MILLA,Round cooking con^tain^er
MILLS,Round dish
MILNE,Salad dish
MILOS,Soup dish
MIMED,Bends in respect
MIMES,Dec^ora^tive ribbons
MIMIC,Fore-ends of ships
MINAJ,Knots with loops
MINCE,Shoelace knots
MINDS,Stoops
MINDY,Squarish in shape
MINED,"Back^street _, pop group"
MINER,Lads
MINES,Young male children
MINIM,Young men
MINIS,Small nail
MINKA,Small nail with an asymmetrical head
MINOR,Type of nail
MINOS,"_ Pitt, Hollywood heart-throb"
MINSK,"_ Pitt, actor"
MINTS,Scottish hill-slope
MINTY,Scottish hillside
MINUS,Be boastful
MIRED,Bluffers' card game
MIRTH,Boast
MISER,Talk big
MISSM,Talk boast^ful^ly
MISSY,"_ Stoker, author of <i>Dracula</i>"
MISTS,Cereal by-product
MISTY,Cereal fibre
MITES,Coarse part of grain
MITRE,Dietary fibre
MITTS,Grain husks
MITTY,Grain husks used in cereals and baking
MIXED,Grain refuse
MIXER,High-fibre part of grain
MIXES,High-fibre cereal
MIXIN,Inner husks of corn
MIXIT,Roughage element
MIXUP,Source of dietary fibre
MOANA,Source of roughage
MOANS,Cupped garments
MOATS,Lingerie items
MOBIL,Women's under^gar^ments
MOCHA,Awful kid
MOCKS,Ghastly child
MODEL,Hideous child
MODEM,Horrid child
MODES,Ill-mannered child
MODUS,Ir^ri^tat^ing child
MOGUL,Spoilt child
MOIRA,Unruly child
MOIRE,Cry of a donkey
MOIST,Cry of an ass
MOLAR,Donkey's cry
MOLES,Donkey's loud strident cry
MOLLS,Hee-haw
MOLLY,Sound of a donkey
MOMMA,Generated
MONET,Had offspring
MONEY,Produced off^spring
MONGO,Produced young
MONKS,Propagated
MONRO,Raised
MONTE,Reared
MONTH,Reproduced
MONTY,Sub-ma^chine gun
MONZA,Light^weight machine gun
MOOCH,"_ Rabbit, <i>Uncle Remus</i> character"
MOODS,"_ Rabbit, book char^ac^ter"
MOODY,"_ Rabbit, character created by Joel Chandler Harris"
MOOED,Concoct
MOOLI,Concoction
MOONS,Ferment
MOONY,Ferment (beer from malt)
MOORE,Fermentation
MOORS,Infuse
MOOSE,Make (beer)
MOPED,Make (tea)
MOPES,Make (tea or beer)
MOPSY,Prepare by infusion
MOPUP,French cheese
MORAL,Popular French cheese
MORAN,Soft French cheese
MORAR,Soft cheese
MORAY,Soft cheese originating from north-east France
MOREL,Soft white French cheese
MORES,Ship's jail
MORPH,Ship's prison
MORSE,Two-masted sailing vessel
MOSES,Two-masted ship
MOSEY,Two-masted square-rigged ship
MOTEL,Two-masted vessel
MOTET,Border
MOTHS,Edge
MOTIF,Edge of a hat
MOTOR,Hat's edge
MOTTE,Lip
MOTTO,Be full to the point of over^flow^ing
MOULD,Upper edge
MOULT,Upper edge (of a glass)
MOUND,Verge
MOUNT,"Live^li^ness, spirit"
MOURN,Vivacity
MOUSE,UK resident
MOUSY,"Czech town, capital of Moravia"
MOUTH,"Moss _, clothes hire firm"
MOVED,Crest
MOVER,Crest of a hill
MOVES,Edge of a hill
MOVIE,Facial feature
MOWED,Forehead
MOWER,Hilltop
MOYET,Ridge over the eyes
MRBIG,"Of wines, un^sweet^ened"
MUCKY,Very dry (cham^pagne)
MUDDY,American dollar
MUFFS,American slang for dollar
MUFTI,Male antelope
MUGGY,Male deer
MUGUP,Male deer or rabbit
MULAN,Male hare
MULCH,Male rabbit
MULES,"_ Rogers, comic spaceman"
MULLS,"_ Rogers, space trav^el^ler"
MULTI,"Zola _, 1980s athlete"
MUMMY,Cornish seaside town
MUMPS,North Cornwall resort
MUMSY,"<i>The Darling _ of May</i>, 1990s TV series"
MUNCH,Soon-to-be flowers
MUNGO,Sprouts
MUNRO,Unopened flowers
MUNTZ,Young shoots
MURAL,Dull yellow colour
MURAT,"Expert, con^nois^seur"
MURKY,"In the _, naked"
MUSED,Polish
MUSES,"Rub, polish"
MUSHU,Sandy colour
MUSHY,Leather with a velvety surface
MUSIC,Yellowish-brown
MUSKY,Con^cealed micro^phones
MUSTY,Eaves^drop^ping devices
MUTED,Insects
MUTES,"Insects, gen^er^al^ly"
MUTTS,Microbes
MUTYA,"_ Bunny, cartoon char^ac^ter"
MUZAK,Corm
MVULA,Il^lu^min^at^ing device
MYERS,Light fixture
MYHAT,Lighting device
MYLAR,Part of a light
MYLES,Source of elec^tric light
MYNAH,Tuber
MYRIE,Under^ground plant storage organ
MYRRH,Greater part
MYTHS,Immensity
MYWAY,Largeness
NAAFI,Mass
NABOB,Darts shot worth fifty points
NACHO,"<i>Raging</i> _, Robert De Niro film"
NACRE,Animal represented by the zodiac sign Taurus
NADAL,Centre of a dartboard
NADIA,Centre of a target
NADIR,Dartboard centre
NAHUM,Male bovine
NAIAD,Male bovine animal
NAILS,Male ox
NAIRA,Target centre
NAIRN,Taurus animal
NAIVE,Unne^ces^sary docu^men^ta^tion
NAKED,Collide
NALGO,Collide with
NAMED,Jolt
NAMES,Knock
NAMUR,Minor crash
NANCY,Protuberance
NANNY,Swelling
NAOMI,"_ into, ac^ci^den^tally meet"
NAPES,Barrel-stopper
NAPPA,Bribe
NAPPY,Cork
NARKS,Large cork
NARKY,Plug
NASAL,"Plug, stopper"
NASTY,Stopper
NATAL,Berth on a ship
NATTY,"Do a _, run away"
NAURU,"Do a _, abscond"
NAVAL,High bed
NAVAN,"Narrow bed, usually one of two"
NAVEL,Shelf-like bed
NAVES,Sleeping berth
NAVVY,"_ beds, one on top of the other"
NAWAB,Baps
NAYAR,Bread rolls
NEAGH,Small cakes
NEARS,Soft bread rolls
NEATH,Floating marker
NECKS,Harbour marker
NEDDY,Shipping hazard indicator
NEEDS,UK health-care group
NEEDY,"_ Ives, US singer/actor"
NEELA,Blaze
NEEPS,Consume by fire
NEGEV,Fire injury
NEGRO,Go up in flames
NEGUS,Ignite
NEHRU,Incinerate
NEIGH,Overcook
NEILL,Scald
NELLY,"Scald, scorch or singe"
NENEH,Scorch
NEPAL,Scottish brook
NEPHR,Scottish stream
NERDS,Set fire to
NERDY,Singe
NERJA,Belch
NERVE,Prickly case around a seed
NERVY,"Raymond _, <i>Ironside</i> actor"
NERYS,"Raymond _, star of <i>Perry Mason</i> and <i>Ironside</i>"
NERYY,"_ Kwouk, <i>Pink Panther</i> actor"
NESSA,"_ Lancaster, <i>Birdman of Alcatraz</i> actor"
NESTA,"_ Reynolds, legendary US actor"
NESTS,Cover in earth
NEVER,Entomb
NEVIL,Greater Man^ches^ter town
NEVIS,Inter
NEWEL,Lay to rest
NEWER,Aus^tra^lian outback
NEWLY,Dense woody plant
NEWRY,"George W _, former US president"
NEWSY,"Kate _, <i>Wuthering Heights</i> singer"
NEWTS,Shrub
NEXUS,Wild Aus^tra^lian outback
NGAIO,Wild scrubland
NIALL,En^ter^tain in the street
NIAMH,Perform in the street
NICAM,Bankrupt
NICER,Head and shoulders sculp^ture
NICHE,Head sculp^ture
NICKI,Piece of sculp^ture
NICKS,Sculpture of the upper half of a torso
NICKY,Upper body sculp^ture
NIECE,"Active, lively"
NIFTY,Full of activity
NIGEL,Fully employed
NIGER,Fully occupied
NIGHT,Hard at work
NIGHY,Having lots to do
NIKKI,Much occupied
NIKON,Occupied
NILES,Island off SW Scotland
NIMBY,Scottish isle north of Arran
NIMES,Objections
NIMMO,Water barrel
NIMOY,Cigarette end
NINES,Ciggie stub
NINJA,Hit with the head or horns
NINNY,Large water cask
NINON,Rifle end
NINTH,Snooker cue end
NIOBE,Stub of a cig^ar^ette or cigar
NIPPY,Target (of ridicule)
NISAN,Procures
NITIN,Purchases
NITON,Con^tinu^ous humming sound
NITRE,Bees' humming sound
NITRO,Hum like a bee
NIVEA,Humming sound
NIVEN,Sound made by a bee
NIXEN,"_ Aldrin, US astronaut"
NIXON,"_ Lightyear, <i>Toy Story</i> character"
NKOMO,Cricket extras
NOBBY,Cricket runs not struck
NOBEL,Extra runs in cricket
NOBLE,Extras in cricket
NOBLY,Passes into the next round
NODAL,Runs from unstruck balls
NODDY,Un^con^test^ed rounds
NODES,"Unstruck runs, in cricket"
NOELE,"Admiral John _, naval officer shot in 1757"
NOHOW,"Richard _, first airman to fly over the South Pole"
NOISE,"William _, early English organist/composer"
NOISY,"William _, early madrigal composer"
NOKIA,Cow-house
NOLAN,Cowshed
NOLTE,Farm building
NOMAD,Farm building for cows
NONCE,Com^puter's set of binary digits
NONET,Computing term for memory size
NOOKS,Piece of computer data
NOOMI,"James _, star of <i>Roll^er^ball</i>"
NOONE,Hire vehicles
NOOSA,Taxis
NOOSE,Islamic magis^trate
NORAH,Magis^trate in Muslim coun^tries
NORGE,Blackguards
NORMA,Bounders
NORMS,Rotters
NORSE,Scoundrels
NORTH,City of northern France
NOSED,French city near Bayeux
NOSER,Eatery
NOSES,Small res^taur^ant
NOSEY,Snack bar
NOTCH,Tea room
NOTED,Animal en^clos^ure
NOTER,Animal pen
NOTES,Barred en^clos^ure
NOTIN,Bird pen
NOTON,Budgie's house
NOTRE,Confine
NOUNS,Enclosed wire struc^ture
NOVAK,Enclosure
NOVEL,"Nicolas _, US actor"
NOWAY,Parrot's home
NOWIN,Pet bird's house
NPIRE,Pet hamster's home
NSPCC,Abel's biblical brother
NSYNC,Abel's brother
NUBIA,Biblical murderer
NUDES,Brother of Abel
NUDGE,First son of Adam and Eve
NUMAN,Congeal
NUMBS,Gateau
NURMI,"Gateau, eclair etc"
NURSE,Piece (of soap)
NUTTY,Sweet teatime food
NYALA,Fleshy back part of the leg
NYASA,Fleshy part at the back of the leg
NYLON,Part of the leg
NYMAN,Young cow
NYMPH,Young elephant
NYREE,Young of any bovine animal
OAKEN,Young seal
OAKUM,Young whale
OARED,Bridge bid
OASES,Doctor's visit
OASIS,Give a name to
OASTS,"Phone, ring"
OATES,Pay a visit
OATHS,Shout loudly
OBAMA,Shout out
OBELI,Shout to
OBESE,"Summons, invitation"
OBEYS,Telephone
OBJET,Visit
OBOES,"_ <i>My Bluff</i>, old TV game show"
OBOTE,Make relaxed
OCADO,Pacify
OCCUR,Peaceful
OCEAN,Placid
OCENA,Serene
OCHRE,Soothe
OCOME,Tranquil
OCTAD,Tranquillity
OCTET,Unflurried
ODDER,Unflustered
ODDIE,Appeared
ODDLY,Arrived
ODEON,Drew near
ODILE,Bivouac
ODIUM,Col^lec^tion of tents
ODOUR,Ex^ag^ger^ated^ly ef^fem^in^ate
ODOWD,Group of tents
ODUBA,Nomadic settle^ment
OFFAL,Per^man^ent military station
OFFAS,Pitch a tent
OFFER,Pro^ject^ing parts on wheels
OFLAG,Bamboo stick
OFMAN,Garden stick
OFNEW,Raspberry stem
OFRED,Rattan
OFTEL,"Rod, stick"
OFTEN,Stem of bamboo
OFTHE,Stick used in corporal pun^ish^ment
OFTWO,Sugar plant
OFUSE,Thwacking stick
OGDEN,Walking aid
OGHAM,Walking stick
OGIVE,Wick^er^work material
OGLED,Cy^lin^dric^al tins
OGLER,Fizzy drink tins
OGLES,Puts into tins
OGOGO,Tins
OGRES,Tins for food or drink
OHARA,Affected language
OHARE,Hypocrisy
OILED,Hypo^crit^ical way of speaking
OILER,Insincere talk
OINKS,Language (of thieves)
OKAPI,Lip service
OKARO,Pious platitudes
OKRAS,Batman's cloak
OLDEN,Cloak
OLDER,Headland
OLDIE,Point of land pro^ject^ing into the sea
OLGAS,Point of land running into the sea
OLIVE,Promontory
OLLIE,Short cloak
OLNEY,Sleeve^less garment
OLSEN,"_ <i>Fear</i>, Scorsese film"
OMAGH,"_ York, Australia's most northerly point"
OMAHA,"_ of Good Hope, South African headland"
OMANI,Bridge used on a guitar
OMARA,Mafia boss
OMBRE,"Andy _, newspaper cartoon char^ac^ter"
OMEGA,"Betters, sur^passes"
OMENS,Hats
OMITS,Peaked hats
ONAIR,School hats
ONCUE,School^boys' hats
ONEAL,Sporting awards
ONEGA,Toy gun am^mu^ni^tion
ONEND,"King or queen, for example"
ONEUP,"Ace of hearts, eg"
ONGAR,Comb (raw wool)
ONICE,Ec^cen^tric person
ONION,Printed birthday greet^ings
ONOFF,Stiff paper
ONSET,Wool-comb
ONTAP,Attention
ONTHE,Be concerned
ONTOP,Concern
ONTOW,Feel concern
OOMPH,Give a hoot
OOTAB,Heedfulness
OOZED,"_ Lewis, 1980s/90s US athlete"
OOZES,Common fresh^water fish
OPALS,Complain con^stant^ly
OPART,Con^tinu^al^ly complain
OPENS,Find fault
OPERA,Fresh^water fish
OPINE,Small river fish
OPIUM,"Vikki _, US singer of the 1960s"
OPRAH,Automobiles
OPTED,Family trans^port^ers
OPTIC,Family vehicles
ORALB,Farm trailer
ORALS,Farm vehicle
ORATE,Horse-drawn vehicle
ORBIE,"Lug, hump"
ORBIT,Trolley
ORCZY,Two-wheeled vehicle
ORDER,Wagon
OREAD,"_ Grant, Hollywood star"
ORFLO,"_ Grant, star of <i>North by Northwest</i>"
ORGAN,Detective job
ORIBI,Instance
ORIEL,Item of luggage
ORION,Lawsuit
ORIYA,Piece of luggage
ORLON,Matter being investigated by the police
ORLOP,Coins and notes
ORMER,"Johnny _, US singer of <i>A Boy Named Sue</i>"
ORRIS,Loose change
ORSON,Money
ORTIS,Money at hand
ORTON,Notes and coins
OSAGE,"Pat _, 1980s tennis star"
OSAKA,"Pat _, 1987 Wim^ble^don winner"
OSCAR,Ready money
OSHEA,Spending money
OSIER,Barrel
OSKAR,Keg
OSMAN,Vessel for holding liquor
OSRIC,Wooden barrel
OSTEO,"Mama _, 1960s singer"
OSTIA,Actors in a play or film
OTAGO,Appoint (an actor)
OTAKU,Company of actors
OTHER,Group of actors
OTLEY,Group of actors in a pro^duc^tion
OTOBA,List of actors
OTTER,Lob
OTWAY,Mould
OUGHT,People in a play
OUIDA,"Plaster _, broken limb support"
OUIJA,Players in a the^at^ri^cal pro^duc^tion
OUNCE,Theatre per^form^ers
OUSTS,Throw (a fishing line)
OUTDO,"Throw, fling"
OUTEN,"Ms Blan^chett, actress"
OUTER,Shake^spearean con^spir^ator
OUTOF,"<i>Cool for</i> _, Squeeze hit song"
OUTRE,Adult kittens
OUZEL,Andrew Lloyd Webber musical
OVALS,Feline animals
OVARY,Feline creatures
OVATE,Feline musical by Andrew Lloyd Webber
OVENS,Felines
OVERS,Lloyd Webber musical
OVERT,Mice chasers
OVETT,Musical based on a book by TS Eliot
OVINE,Pets said to have nine lives
OVOID,Purring pets
OVULE,Grotto
OWENS,Large hole in a cliff
OWING,Pre^his^toric dwelling
OWLET,Rocky recess
OWNED,Smug^glers' seaside hideaway
OWNER,Sub^ter^ra^nean chamber
OWNUP,Under^ground chamber
OXBOW,Under^ground tunnel
OXERS,Genus of rodent
OXEYE,Guinea pig
OXFAM,South American rodent of the guinea pig family
OXIDE,Harsh sounds made by some birds
OXLIP,Rooks' cries
OXTER,Forgo
OYERS,Give up
OZONE,Give way
OZTHE,Hand over
PABLO,Relinquish
PACED,Surrender
PACER,Yield
PACES,Yield (to another)
PACEY,Battery compart^ment
PACKS,Jail room
PACTS,Monk's room
PADDY,Part of a battery
PADMA,Prison chamber
PADRE,Prison room
PADUA,Prisoner's room
PAEAN,Small room in which to confine a prisoner
PAGAN,Ancient Briton
PAGED,100th of a dollar
PAGER,American coin
PAGES,Division of a dollar
PAIGE,Hundredth of a dollar
PAILS,Hundredth part of a dollar
PAINS,One hundredth of a dollar
PAINT,One tenth of a dime
PAIRS,Smallest US coin
PALAU,Tenth of a dime
PALED,Tenth part of a dime
PALER,US coin
PALES,US monetary unit
PALIN,Sure winner?
PALIO,Allegedly definite winner!
PALLY,Name for a group of badgers
